Date,Severity,Size,Intensity
2018-04-23,S2,49889.71102046767,117574.9486117151
2018-04-24,S1,9579391.958840445,15095568.16180191
2018-04-24,S2,74770.60294022819,183691.02604324388
2018-04-25,S1,9685071.417065784,15106489.777262615
2018-04-25,S2,74765.76052305828,183477.06019350945
2018-04-26,S1,9321295.956029495,14386271.187665844
2018-04-26,S2,73756.2857705337,175601.85399646946
2018-04-27,S1,9358246.292534607,14437865.631628595
2018-04-27,S2,69457.85354644824,163952.7183590736
2018-04-28,S1,10759425.966010088,16431893.914081598
2018-04-28,S2,75960.47887472608,179104.09730183202
2018-04-29,S1,9285497.953246793,14603025.98285878
2018-04-29,S2,43170.41680617041,103671.53051010218
2018-04-30,S1,2293276.451134813,3392001.2130249613
2018-04-30,S2,85834.86491020759,198064.5260057704
2018-05-01,S1,9184057.894929236,14784735.606203536
2018-05-01,S2,53514.48938153946,129109.08213521227
2018-05-02,S1,9436546.220814345,15065862.349808583
2018-05-02,S2,50889.81775604687,121212.0590370016
2018-05-03,S1,9783644.266872387,15430146.320374172
2018-05-03,S2,74769.00332121004,172157.39934623905
2018-05-04,S1,11387011.157074474,17571052.370746545
2018-05-04,S2,94773.36761899671,217690.0999269744
2018-05-05,S1,10959481.701877706,17126907.082735218
2018-05-05,S2,128768.99826224208,297065.43169363245
2018-05-06,S1,3523689.8850790155,5039270.282372706
2018-05-06,S2,153670.3079117432,349959.39368635014
2018-05-07,S1,3324300.7155165565,4825282.963030281
2018-05-07,S2,159605.04411969995,383015.7099395583
2018-05-08,S1,5354442.111805406,7654535.7268420765
2018-05-08,S2,177889.63517573403,429639.13448508485
2018-05-09,S1,4697551.622002038,6453684.874205241
2018-05-09,S2,83785.72109842527,208533.89830633954
2018-05-10,S1,5511162.691769604,7653461.925347441
2018-05-10,S2,37129.22497519314,87215.07432323393
2018-05-11,S1,3041965.8486249675,4210472.436478079
2018-05-11,S2,37156.2632777512,85336.66238991002
2018-05-12,S1,5403306.361919732,7571516.149552098
2018-05-12,S2,39267.89278147938,88711.28088259851
2018-05-13,S1,3508123.2359617064,4942301.645363335
2018-05-13,S2,23180.52117558891,50847.98584655778
2018-05-14,S1,3959831.487485362,5415152.297545008
2018-05-14,S2,19507.43766072386,47668.74942583529
2018-05-15,S1,2995961.2500817818,4092273.076052704
2018-05-15,S2,39748.54985329208,102344.85993293115
2018-05-16,S1,3962476.9676698754,5466684.40069796
2018-05-16,S2,73814.81916200888,185605.42051006935
2018-05-17,S1,4707056.867712845,6625511.480931122
2018-05-17,S2,80132.32177583939,206852.60679737965
2018-05-18,S1,4612030.478947786,6660940.407295928
2018-05-18,S2,97939.25995648722,246356.80407389274
2018-05-19,S1,5184013.803175103,7336667.910400976
2018-05-19,S2,134987.72819453175,346965.8661819653
2018-05-20,S1,5445688.673606114,7722651.925223503
2018-05-20,S2,124189.25913808559,318844.16085184104
2018-05-21,S1,6343587.921373657,8895781.58818908
2018-05-21,S2,103617.24532157317,274892.2478382655
2018-05-22,S1,5662803.124553202,8022704.616395069
2018-05-22,S2,74145.76874127939,199762.40377905068
2018-05-23,S1,6075059.984134536,8619291.271805268
2018-05-23,S2,71085.45475522264,188783.03708703138
2018-05-24,S1,5834645.924317139,8302047.731921622
2018-05-24,S2,49915.073397310545,130608.69240159207
2018-05-25,S1,6409677.595174571,9080031.764733346
2018-05-25,S2,49386.28808362323,124984.03022181465
2018-05-26,S1,6503462.506962165,9041293.099337421
2018-05-26,S2,52512.83957462178,134903.5642099333
2018-05-27,S1,5777417.798220731,8005330.274160834
2018-05-27,S2,58785.302512384005,154462.1657044329
2018-05-28,S1,5583485.486592696,7598350.703945151
2018-05-28,S2,56053.353714892575,150178.10512408926
2018-05-29,S1,5288121.087220954,7043187.372134431
2018-05-29,S2,54433.620231871806,143026.02298291415
2018-05-30,S1,4566913.141767905,6079191.827672204
2018-05-30,S2,50221.54955066565,129916.39248311361
2018-05-31,S1,4293091.797104552,5739448.517762261
2018-05-31,S2,55543.73565967069,143975.61653303236
2018-06-01,S1,4742912.544162324,6358739.063431187
2018-06-01,S2,61348.491414620155,167816.7627933513
2018-06-02,S1,1828634.1408978985,2375131.197991093
2018-06-02,S2,58246.28580775064,158410.76440381494
2018-06-03,S1,1586244.8743630706,2044303.649366026
2018-06-03,S2,52497.898649394294,138766.6201273952
2018-06-04,S1,2853763.060859367,3805794.3031704896
2018-06-04,S2,58322.61911219395,149734.16780571284
2018-06-05,S1,3451177.078108609,4735158.444812308
2018-06-05,S2,66341.35427645051,170160.67709749404
2018-06-06,S1,5482180.222962083,7515265.416921237
2018-06-06,S2,64784.37554601016,172896.26566993273
2018-06-07,S1,4907925.9375027865,6908273.513667952
2018-06-07,S2,64839.459329601414,175584.63700681768
2018-06-08,S1,3746369.091656534,5421686.41335861
2018-06-08,S2,64256.56894781685,178415.901340756
2018-06-09,S1,3550554.013782623,5143822.014896776
2018-06-09,S2,58821.67004974826,164452.4303703312
2018-06-10,S1,4157762.21069161,5895754.337277533
2018-06-10,S2,55543.25095328844,148837.7162472855
2018-06-11,S1,4177200.3071485194,5882695.058894455
2018-06-11,S2,52367.799641895865,134303.08432512332
2018-06-12,S1,4340334.493768992,6045777.983953957
2018-06-12,S2,47661.11379334408,118666.06326882409
